season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc
2025-26,2026,Deandre Ayton,LAL,68,27.2,12.4,8.1,0.8,0.6,0.9,0.672,0.0,0.634,deandre_ayton,2026-04-07T17:04:13Z
2025-26,2026,Dejounte Murray,NOP,14,27.8,16.7,5.4,6.4,1.6,0.2,0.484,0.306,0.867,dejounte_murray,2026-04-07T17:04:13Z
2025-26,2026,Deni Avdija,POR,63,33.2,24.0,7.0,6.7,0.8,0.6,0.457,0.315,0.802,deni_avdija,2026-04-07T17:04:13Z
2025-26,2026,Dennis Schröder,CLE,68,24.5,10.9,2.8,4.9,0.8,0.2,0.407,0.329,0.832,dennis_schroder,2026-04-07T17:04:13Z
2025-26,2026,Dereck Lively II,DAL,7,16.5,4.3,5.3,1.9,0.6,1.6,0.611,0.0,0.8,dereck_lively,2026-04-07T17:04:13Z
2025-26,2026,Derik Queen,NOP,78,24.4,11.2,6.8,3.6,1.0,0.9,0.471,0.262,0.792,derik_queen,2026-04-07T17:04:13Z
2025-26,2026,Derrick Jones Jr.,LAC,46,27.2,10.3,3.3,1.4,1.0,1.0,0.507,0.352,0.759,derrick_jones,2026-04-07T17:04:13Z
2025-26,2026,Derrick White,BOS,74,34.3,16.7,4.5,5.5,1.1,1.3,0.395,0.326,0.9,derrick_white,2026-04-07T17:04:13Z
2025-26,2026,Desmond Bane,ORL,79,34.1,20.5,4.2,4.1,1.0,0.5,0.485,0.394,0.909,desmond_bane,2026-04-07T17:04:13Z
2025-26,2026,Devin Booker,PHX,62,33.4,25.8,3.9,6.0,0.8,0.3,0.455,0.33,0.869,devin_booker,2026-04-07T17:04:13Z
2025-26,2026,Devin Carter,SAC,35,17.4,8.5,3.1,2.4,0.8,0.2,0.408,0.24,0.771,devin_carter,2026-04-07T17:04:13Z
2025-26,2026,Devin Vassell,SAS,64,30.5,14.0,4.0,2.5,0.8,0.4,0.438,0.387,0.816,devin_vassell,2026-04-07T17:04:13Z
2025-26,2026,Dillon Brooks,PHX,53,30.5,20.4,3.6,1.8,1.0,0.2,0.437,0.346,0.858,dillon_brooks,2026-04-07T17:04:13Z
2025-26,2026,Domantas Sabonis,SAC,19,29.7,15.8,11.4,4.1,0.9,0.2,0.543,0.185,0.727,domantas_sabonis,2026-04-07T17:04:13Z
2025-26,2026,Dominick Barlow,PHI,68,23.9,7.9,4.8,1.3,0.9,0.7,0.544,0.256,0.717,dominick_barlow,2026-04-07T17:04:13Z
2025-26,2026,Donovan Clingan,POR,74,27.2,12.1,11.6,2.1,0.6,1.7,0.519,0.332,0.675,donovan_clingan,2026-04-07T17:04:13Z
2025-26,2026,Donovan Mitchell,CLE,69,33.4,27.8,4.5,5.7,1.5,0.3,0.481,0.364,0.863,donovan_mitchell,2026-04-07T17:04:13Z
2025-26,2026,Donte DiVincenzo,MIN,78,30.8,12.3,4.2,3.9,1.3,0.4,0.406,0.379,0.758,donte_divincenzo,2026-04-07T17:04:13Z
2025-26,2026,Dorian Finney-Smith,HOU,36,16.6,3.2,2.5,1.0,0.4,0.2,0.331,0.274,0.857,dorian_finneysmith,2026-04-07T17:04:13Z
2025-26,2026,Drake Powell,BKN,60,20.6,6.5,1.7,1.5,0.6,0.2,0.418,0.298,0.915,drake_powell,2026-04-07T17:04:13Z
2025-26,2026,Draymond Green,GSW,65,27.6,8.6,5.5,5.5,0.9,0.6,0.419,0.329,0.692,draymond_green,2026-04-07T17:04:13Z
2025-26,2026,Dru Smith,MIA,70,16.3,5.6,2.5,2.6,1.4,0.3,0.415,0.295,0.829,dru_smith,2026-04-07T17:04:13Z
2025-26,2026,Duncan Robinson,DET,74,27.6,12.0,2.7,2.1,0.6,0.3,0.448,0.408,0.76,duncan_robinson,2026-04-07T17:04:13Z
2025-26,2026,Dylan Cardwell,SAC,41,20.4,5.3,7.5,1.4,0.7,1.5,0.586,0.5,0.531,dylan_cardwell,2026-04-07T17:04:13Z
2025-26,2026,Dylan Harper,SAS,66,22.4,11.8,3.3,3.9,0.8,0.3,0.508,0.345,0.743,dylan_harper,2026-04-07T17:04:13Z
2025-26,2026,Dyson Daniels,ATL,74,33.2,11.8,6.8,5.8,2.0,0.4,0.517,0.186,0.619,dyson_daniels,2026-04-07T17:04:13Z
2025-26,2026,Egor Dëmin,BKN,52,25.2,10.3,3.2,3.3,0.8,0.3,0.399,0.385,0.831,egor_demin,2026-04-07T17:04:13Z
