season,season_end_year,player_name,team,games_played,minutes_played,pts,trb,ast,stl,blk,fg_pct,fg3_pct,ft_pct,player_key,last_updated_utc,team_name_lookup,team_win_pct,team_conf_rank,team_conference,ridge_pred_vote_share,mvp_score,mvp_rank,mvp_tier
2025-26,2026,Tristan da Silva,ORL,38,23.0,9.4,3.6,1.2,0.8,0.2,0.439,0.379,0.842,tristan_da_silva,2026-01-24T02:19:06Z,Magic,0.535,7,East,-0.4015505621247031,0.3464092795717212,200,Outside
2025-26,2026,Jock Landale,MEM,40,22.9,11.3,6.4,1.7,0.5,0.5,0.521,0.398,0.671,jock_landale,2026-01-24T02:19:06Z,Grizzlies,0.429,11,West,-0.2818884344455585,0.34524058213635533,201,Outside
2025-26,2026,Trae Young,WAS,10,28.0,19.3,1.5,8.9,1.0,0.1,0.415,0.305,0.863,trae_young,2026-01-24T02:19:06Z,Wizards,0.233,14,East,-0.11876099856015207,0.34414445551510375,202,Outside
2025-26,2026,Craig Porter Jr.,CLE,40,17.7,4.9,3.6,3.0,1.0,0.7,0.467,0.404,0.577,craig_porter,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,-0.436286368251266,0.34236787759241005,203,Outside
2025-26,2026,Derik Queen,NOP,45,26.0,12.5,7.4,4.4,1.0,0.9,0.494,0.19,0.78,derik_queen,2026-01-24T02:19:06Z,Pelicans,0.217,15,West,-0.09987766530488065,0.3415663527449815,204,Outside
2025-26,2026,Zach Collins,CHI,10,18.4,9.7,5.6,1.5,0.2,0.4,0.578,0.429,0.7,zach_collins,2026-01-24T02:19:06Z,Bulls,0.5,9,East,-0.36345457862701824,0.3404331880840103,205,Outside
2025-26,2026,Landry Shamet,NYK,19,20.2,9.2,1.7,1.1,0.5,0.3,0.461,0.435,0.775,landry_shamet,2026-01-24T02:19:06Z,Knicks,0.591,3,East,-0.5035759241193482,0.3402525576297871,206,Outside
2025-26,2026,Dru Smith,MIA,44,16.7,6.0,2.4,2.5,1.4,0.3,0.408,0.315,0.817,dru_smith,2026-01-24T02:19:06Z,Heat,0.511,8,East,-0.38506810351572024,0.3399336849296713,207,Outside
2025-26,2026,Pelle Larsson,MIA,37,23.1,9.4,2.9,3.3,0.5,0.2,0.473,0.311,0.739,pelle_larsson,2026-01-24T02:19:06Z,Heat,0.511,8,East,-0.38597194684264646,0.3394620265853668,208,Outside
2025-26,2026,Moussa Diabaté,CHA,41,24.4,8.0,8.2,1.4,0.7,1.0,0.625,0.0,0.65,moussa_diabate,2026-01-24T02:19:06Z,Hornets,0.378,12,East,-0.24779508885811952,0.3390293694514337,209,Outside
2025-26,2026,Nae'Qwan Tomlin,CLE,34,16.1,6.2,3.3,0.8,0.7,0.7,0.475,0.219,0.718,naeqwan_tomlin,2026-01-24T02:19:06Z,Cavaliers,0.556,6,East,-0.44478066608155237,0.33793524382579504,210,Outside
2025-26,2026,Will Richard,GSW,41,19.1,6.9,2.5,1.3,1.1,0.1,0.486,0.365,0.814,will_richard,2026-01-24T02:19:06Z,Warriors,0.543,8,West,-0.40926877102398695,0.33788340821218055,211,Outside
2025-26,2026,Kyle Kuzma,MIL,41,26.0,12.5,4.5,2.1,0.6,0.5,0.495,0.314,0.75,kyle_kuzma,2026-01-24T02:19:06Z,Bucks,0.419,11,East,-0.2971733724691955,0.3339585600404964,212,Outside
